global_step,game_idx,total_env_steps,buffer_size,batch_size,replay_capacity,elapsed_sec,steps_per_sec
341,91,5828,5828,256,20000,8378.86447232298,0.6955596452539622
342,92,5894,5894,256,20000,8475.922783480957,0.6953815119088905
343,92,5894,5894,256,20000,8475.962822524947,0.6953782270418462
344,92,5894,5894,256,20000,8476.006862728973,0.6953746139490904
345,92,5894,5894,256,20000,8476.04420909402,0.6953715500535352
346,93,5923,5923,256,20000,8519.195833798032,0.6952534154106192
347,93,5923,5923,256,20000,8519.230467922986,0.6952505889236784
348,93,5923,5923,256,20000,8519.265427320963,0.6952477359145499
349,93,5923,5923,256,20000,8519.299769390956,0.6952449333078737
350,94,6051,6051,256,20000,8693.876764760003,0.6960071051992924
351,94,6051,6051,256,20000,8693.91182470601,0.6960042984108156
352,94,6051,6051,256,20000,8693.946310827043,0.6960015375830377
353,94,6051,6051,256,20000,8693.981376220006,0.6959987304034082
354,95,6079,6079,256,20000,8735.341518827016,0.6959086816351847
355,95,6079,6079,256,20000,8735.376812000992,0.6959058699847315
356,95,6079,6079,256,20000,8735.41355600499,0.6959029427772323
357,95,6079,6079,256,20000,8735.450181429042,0.6959000250408995
358,96,6103,6103,256,20000,8767.802148937015,0.696069539016675
359,96,6103,6103,256,20000,8767.836631444981,0.6960668014858069
360,96,6103,6103,256,20000,8767.870936100953,0.6960640780957922
361,96,6103,6103,256,20000,8767.905505278963,0.6960613337273672
362,97,6154,6154,256,20000,8836.908651337959,0.6963973763685165
363,97,6154,6154,256,20000,8836.942814621958,0.6963946841228107
364,97,6154,6154,256,20000,8836.977951828041,0.6963919151486586
365,97,6154,6154,256,20000,8837.012696121004,0.6963891771595271
366,98,6181,6181,256,20000,8877.136775385006,0.6962830647308492
367,98,6181,6181,256,20000,8877.172579089995,0.6962802564590469
368,98,6181,6181,256,20000,8877.207856248016,0.696277489509232
369,98,6181,6181,256,20000,8877.262991357013,0.6962731650529989
370,99,6212,6212,256,20000,8930.815154292039,0.6955692053501511
371,99,6212,6212,256,20000,8930.851496255957,0.6955663748976489
372,99,6212,6212,256,20000,8930.88795185904,0.6955635356176336
373,99,6212,6212,256,20000,8930.925166288973,0.6955606372616426
